workgroup,product,servicetype,seriousness2,activity,resource,supportsection,servicelevel,responsiblesection,lifecycle:transition,timestamp,customer,case
Value 1,Value 3,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2010-06-29 07:35:47+00:00,Value 18,Case 101
Value 1,Value 3,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2010-06-29 08:33:07+00:00,Value 18,Case 101
Value 1,Value 3,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2010-08-05 13:50:24+00:00,Value 18,Case 101
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 14,Value 1,Value 3,Value 1,complete,2013-06-21 07:11:34+00:00,Value 177,Case 1010
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 3,Value 1,complete,2013-06-24 10:06:24+00:00,Value 177,Case 1010
Value 1,Value 1,Value 1,Value 1,Require upgrade,Value 1,Value 1,Value 3,Value 1,complete,2013-06-28 10:12:09+00:00,Value 177,Case 1010
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 3,Value 1,complete,2013-07-17 15:38:54+00:00,Value 177,Case 1010
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 3,Value 1,complete,2013-08-01 15:39:11+00:00,Value 177,Case 1010
Value 1,Value 3,Value 1,Value 1,Insert ticket,Value 15,Value 1,Value 2,Value 1,complete,2011-09-06 15:37:27+00:00,Value 163,Case 1011
Value 1,Value 3,Value 1,Value 1,Assign seriousness,Value 15,Value 1,Value 2,Value 1,complete,2011-09-06 15:44:32+00:00,Value 163,Case 1011
Value 1,Value 3,Value 1,Value 1,Take in charge ticket,Value 15,Value 1,Value 2,Value 1,complete,2011-09-06 15:44:54+00:00,Value 163,Case 1011
Value 1,Value 3,Value 1,Value 1,Resolve ticket,Value 15,Value 1,Value 2,Value 1,complete,2011-09-06 15:55:58+00:00,Value 163,Case 1011
Value 1,Value 3,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-10-22 15:40:25+00:00,Value 163,Case 1011
Value 1,Value 3,Value 1,Value 1,Assign seriousness,Value 2,Value 1,Value 2,Value 1,complete,2010-05-25 15:14:28+00:00,Value 182,Case 1012
Value 1,Value 3,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2010-05-28 15:38:09+00:00,Value 182,Case 1012
Value 1,Value 3,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2010-05-28 15:38:45+00:00,Value 182,Case 1012
Value 1,Value 3,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2010-06-26 15:20:26+00:00,Value 182,Case 1012
Value 2,Value 3,Value 2,Value 2,Assign seriousness,Value 8,Value 1,Value 2,Value 1,complete,2010-12-28 10:41:06+00:00,Value 9,Case 1014
Value 2,Value 3,Value 2,Value 2,Take in charge ticket,Value 6,Value 1,Value 2,Value 1,complete,2010-12-30 08:50:44+00:00,Value 9,Case 1014
Value 2,Value 3,Value 2,Value 2,Wait,Value 6,Value 1,Value 2,Value 1,complete,2010-12-30 08:51:13+00:00,Value 9,Case 1014
Value 2,Value 3,Value 2,Value 2,Take in charge ticket,Value 6,Value 1,Value 2,Value 1,complete,2011-01-13 16:53:03+00:00,Value 9,Case 1014
Value 2,Value 3,Value 2,Value 2,Resolve ticket,Value 6,Value 1,Value 2,Value 1,complete,2011-01-13 16:55:17+00:00,Value 9,Case 1014
Value 2,Value 3,Value 2,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-01-28 16:55:37+00:00,Value 9,Case 1014
Value 1,Value 2,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-02-10 14:44:10+00:00,Value 14,Case 1015
Value 1,Value 2,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2012-02-10 15:48:04+00:00,Value 14,Case 1015
Value 1,Value 2,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2012-02-15 11:07:17+00:00,Value 14,Case 1015
Value 1,Value 2,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-03-14 14:50:15+00:00,Value 14,Case 1015
Value 2,Value 3,Value 2,Value 2,Assign seriousness,Value 8,Value 1,Value 2,Value 1,complete,2011-04-13 07:43:01+00:00,Value 8,Case 1016
Value 2,Value 3,Value 2,Value 2,Take in charge ticket,Value 8,Value 1,Value 2,Value 1,complete,2011-04-13 07:45:30+00:00,Value 8,Case 1016
Value 2,Value 3,Value 2,Value 2,Resolve ticket,Value 16,Value 1,Value 2,Value 1,complete,2011-04-13 14:57:33+00:00,Value 8,Case 1016
Value 2,Value 3,Value 2,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-06-11 07:50:56+00:00,Value 8,Case 1016
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 3,Value 1,complete,2012-09-07 12:24:46+00:00,Value 104,Case 1017
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 3,Value 1,Value 3,Value 1,complete,2012-09-10 09:51:17+00:00,Value 104,Case 1017
Value 1,Value 1,Value 1,Value 1,Wait,Value 4,Value 1,Value 3,Value 1,complete,2012-09-17 09:56:36+00:00,Value 104,Case 1017
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 3,Value 1,complete,2012-10-02 07:03:02+00:00,Value 104,Case 1017
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 3,Value 1,complete,2012-10-02 07:03:22+00:00,Value 104,Case 1017
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 3,Value 1,complete,2012-10-17 07:03:17+00:00,Value 104,Case 1017
Value 1,Value 3,Value 3,Value 2,Assign seriousness,Value 14,Value 1,Value 3,Value 1,complete,2010-09-16 09:03:22+00:00,Value 10,Case 1018
Value 1,Value 3,Value 3,Value 2,Take in charge ticket,Value 14,Value 1,Value 3,Value 1,complete,2010-09-16 09:48:31+00:00,Value 10,Case 1018
Value 1,Value 3,Value 3,Value 2,Resolve ticket,Value 2,Value 1,Value 3,Value 1,complete,2010-09-21 08:24:19+00:00,Value 10,Case 1018
Value 1,Value 3,Value 3,Value 2,Closed,Value 5,Value 1,Value 3,Value 1,complete,2010-11-05 09:24:51+00:00,Value 10,Case 1018
Value 1,Value 6,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2013-02-14 15:35:55+00:00,Value 257,Case 1019
Value 1,Value 6,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2013-03-04 08:12:43+00:00,Value 257,Case 1019
Value 1,Value 6,Value 1,Value 1,Wait,Value 1,Value 1,Value 2,Value 1,complete,2013-03-04 08:33:32+00:00,Value 257,Case 1019
Value 1,Value 6,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2013-03-04 10:43:19+00:00,Value 257,Case 1019
Value 1,Value 6,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-03-19 10:43:39+00:00,Value 257,Case 1019
Value 1,Value 3,Value 1,Value 4,Assign seriousness,Value 4,Value 1,Value 1,Value 1,complete,2012-01-30 09:09:29+00:00,Value 62,Case 102
Value 1,Value 3,Value 1,Value 4,Take in charge ticket,Value 4,Value 1,Value 1,Value 1,complete,2012-01-30 09:09:57+00:00,Value 62,Case 102
Value 1,Value 3,Value 1,Value 4,Resolve ticket,Value 2,Value 1,Value 1,Value 1,complete,2012-01-31 08:12:06+00:00,Value 62,Case 102
Value 1,Value 3,Value 1,Value 4,Closed,Value 5,Value 1,Value 1,Value 1,complete,2012-03-16 09:12:11+00:00,Value 62,Case 102
Value 1,Value 2,Value 1,Value 1,Assign seriousness,Value 4,Value 1,Value 2,Value 1,complete,2012-05-15 08:09:38+00:00,Value 220,Case 1020
Value 1,Value 2,Value 1,Value 1,Take in charge ticket,Value 4,Value 1,Value 2,Value 1,complete,2012-05-15 08:09:57+00:00,Value 220,Case 1020
Value 1,Value 2,Value 1,Value 1,Wait,Value 4,Value 1,Value 2,Value 1,complete,2012-05-28 15:21:32+00:00,Value 220,Case 1020
Value 1,Value 2,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 2,Value 1,complete,2012-06-04 10:49:46+00:00,Value 220,Case 1020
Value 1,Value 2,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-07-06 13:30:28+00:00,Value 220,Case 1020
Value 1,Value 3,Value 1,Value 1,Assign seriousness,Value 6,Value 1,Value 3,Value 1,complete,2010-05-18 14:59:36+00:00,Value 5,Case 1021
Value 1,Value 3,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 3,Value 1,complete,2010-05-19 08:08:06+00:00,Value 5,Case 1021
Value 1,Value 3,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 3,Value 1,complete,2010-05-20 10:17:39+00:00,Value 5,Case 1021
Value 1,Value 3,Value 1,Value 1,Closed,Value 5,Value 1,Value 3,Value 1,complete,2010-06-25 15:01:30+00:00,Value 5,Case 1021
Value 1,Value 3,Value 1,Value 2,Assign seriousness,Value 8,Value 1,Value 2,Value 1,complete,2011-03-18 09:41:58+00:00,Value 241,Case 1025
Value 1,Value 3,Value 1,Value 2,Take in charge ticket,Value 8,Value 1,Value 2,Value 1,complete,2011-03-18 09:42:34+00:00,Value 241,Case 1025
Value 1,Value 3,Value 1,Value 2,Wait,Value 2,Value 1,Value 2,Value 1,complete,2011-03-25 14:24:59+00:00,Value 241,Case 1025
Value 1,Value 3,Value 1,Value 2,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-04-20 15:42:11+00:00,Value 241,Case 1025
Value 1,Value 3,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-04-20 15:42:20+00:00,Value 241,Case 1025
Value 1,Value 3,Value 1,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-05-05 15:42:36+00:00,Value 241,Case 1025
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 14,Value 1,Value 3,Value 1,complete,2013-05-13 15:56:12+00:00,Value 104,Case 1026
Value 1,Value 1,Value 1,Value 2,Take in charge ticket,Value 2,Value 1,Value 3,Value 1,complete,2013-05-20 08:37:45+00:00,Value 104,Case 1026
Value 1,Value 1,Value 1,Value 2,Require upgrade,Value 4,Value 1,Value 3,Value 1,complete,2013-05-20 08:38:03+00:00,Value 104,Case 1026
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 4,Value 1,Value 3,Value 1,complete,2013-06-04 16:04:46+00:00,Value 104,Case 1026
Value 1,Value 1,Value 1,Value 2,Closed,Value 3,Value 1,Value 3,Value 1,complete,2013-06-19 16:05:00+00:00,Value 104,Case 1026
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2013-04-16 13:36:13+00:00,Value 74,Case 1027
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2013-04-29 08:23:18+00:00,Value 74,Case 1027
Value 1,Value 1,Value 1,Value 1,Wait,Value 14,Value 1,Value 2,Value 1,complete,2013-04-29 15:18:01+00:00,Value 74,Case 1027
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 14,Value 1,Value 2,Value 1,complete,2013-05-15 09:33:16+00:00,Value 74,Case 1027
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-05-30 09:33:30+00:00,Value 74,Case 1027
Value 2,Value 1,Value 2,Value 2,Assign seriousness,Value 8,Value 1,Value 2,Value 1,complete,2010-12-28 08:31:42+00:00,Value 71,Case 1028
Value 2,Value 1,Value 2,Value 2,Take in charge ticket,Value 6,Value 1,Value 2,Value 1,complete,2011-01-14 10:45:45+00:00,Value 71,Case 1028
Value 2,Value 1,Value 2,Value 2,Resolve ticket,Value 6,Value 1,Value 2,Value 1,complete,2011-01-14 10:46:06+00:00,Value 71,Case 1028
Value 2,Value 1,Value 2,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-01-29 10:46:26+00:00,Value 71,Case 1028
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-05-09 09:25:28+00:00,Value 49,Case 1029
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 10,Value 1,Value 2,Value 1,complete,2012-05-09 13:22:38+00:00,Value 49,Case 1029
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2012-05-09 13:40:52+00:00,Value 49,Case 1029
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-06-09 09:30:28+00:00,Value 49,Case 1029
Value 1,Value 2,Value 1,Value 1,Assign seriousness,Value 8,Value 1,Value 2,Value 1,complete,2011-02-24 13:41:36+00:00,Value 220,Case 1031
Value 1,Value 2,Value 1,Value 1,Take in charge ticket,Value 8,Value 1,Value 2,Value 1,complete,2011-02-24 13:41:54+00:00,Value 220,Case 1031
Value 1,Value 2,Value 1,Value 1,Wait,Value 9,Value 1,Value 2,Value 1,complete,2011-03-07 16:53:23+00:00,Value 220,Case 1031
Value 1,Value 2,Value 1,Value 1,Take in charge ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-03-25 09:53:46+00:00,Value 220,Case 1031
Value 1,Value 2,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-03-25 09:54:11+00:00,Value 220,Case 1031
Value 1,Value 2,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-04-15 14:50:58+00:00,Value 220,Case 1031
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 3,Value 1,complete,2012-04-11 15:07:25+00:00,Value 71,Case 1032
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 1,Value 1,Value 3,Value 1,complete,2012-04-11 15:07:34+00:00,Value 71,Case 1032
Value 1,Value 1,Value 1,Value 1,Wait,Value 1,Value 1,Value 3,Value 1,complete,2012-04-17 12:29:31+00:00,Value 71,Case 1032
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 3,Value 1,complete,2012-05-15 12:31:57+00:00,Value 71,Case 1032
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 3,Value 1,complete,2012-06-01 15:20:26+00:00,Value 71,Case 1032
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-11-10 08:25:05+00:00,Value 22,Case 1033
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-11-18 11:29:26+00:00,Value 22,Case 1033
Value 1,Value 1,Value 1,Value 1,Wait,Value 2,Value 1,Value 2,Value 1,complete,2011-11-23 16:07:21+00:00,Value 22,Case 1033
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-12-12 09:40:33+00:00,Value 22,Case 1033
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-12-29 11:10:47+00:00,Value 22,Case 1033
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-12-13 08:22:23+00:00,Value 17,Case 1034
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 4,Value 1,Value 2,Value 1,complete,2011-12-13 08:27:18+00:00,Value 17,Case 1034
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 2,Value 1,complete,2011-12-13 11:50:30+00:00,Value 17,Case 1034
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-01-13 08:30:30+00:00,Value 17,Case 1034
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-05-29 15:38:19+00:00,Value 49,Case 1036
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 1,Value 1,Value 2,Value 1,complete,2012-05-29 15:38:27+00:00,Value 49,Case 1036
Value 1,Value 1,Value 1,Value 1,Wait,Value 1,Value 1,Value 2,Value 1,complete,2012-05-30 14:35:37+00:00,Value 49,Case 1036
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 1,Value 1,Value 2,Value 1,complete,2012-05-30 15:32:51+00:00,Value 49,Case 1036
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2012-06-01 12:40:27+00:00,Value 49,Case 1036
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-06-30 07:41:01+00:00,Value 49,Case 1036
Value 1,Value 4,Value 1,Value 1,Assign seriousness,Value 4,Value 1,Value 2,Value 1,complete,2011-10-24 10:11:15+00:00,Value 53,Case 1037
Value 1,Value 4,Value 1,Value 1,Take in charge ticket,Value 1,Value 1,Value 2,Value 1,complete,2011-10-24 10:19:04+00:00,Value 53,Case 1037
Value 1,Value 4,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2011-10-24 11:02:57+00:00,Value 53,Case 1037
Value 1,Value 4,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-12-09 11:20:28+00:00,Value 53,Case 1037
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 3,Value 1,complete,2012-07-24 15:29:40+00:00,Value 146,Case 1038
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 4,Value 1,Value 3,Value 1,complete,2012-07-25 13:33:25+00:00,Value 146,Case 1038
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 3,Value 1,complete,2012-07-25 13:53:33+00:00,Value 146,Case 1038
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 3,Value 1,complete,2012-09-01 08:14:01+00:00,Value 146,Case 1038
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-06-28 10:14:33+00:00,Value 17,Case 1039
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 4,Value 1,Value 2,Value 1,complete,2012-06-28 10:55:42+00:00,Value 17,Case 1039
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 2,Value 1,complete,2012-06-29 14:35:15+00:00,Value 17,Case 1039
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-07-31 10:20:39+00:00,Value 17,Case 1039
Value 4,Value 3,Value 2,Value 2,Assign seriousness,Value 8,Value 1,Value 3,Value 1,complete,2011-01-27 08:34:59+00:00,Value 35,Case 104
Value 4,Value 3,Value 2,Value 2,Take in charge ticket,Value 17,Value 1,Value 3,Value 1,complete,2011-01-27 09:32:40+00:00,Value 35,Case 104
Value 4,Value 3,Value 2,Value 2,Resolve ticket,Value 17,Value 1,Value 3,Value 1,complete,2011-01-27 09:34:24+00:00,Value 35,Case 104
Value 4,Value 3,Value 2,Value 2,Closed,Value 5,Value 1,Value 3,Value 1,complete,2011-03-05 08:42:36+00:00,Value 35,Case 104
