workgroup,product,servicetype,seriousness2,activity,resource,supportsection,servicelevel,responsiblesection,lifecycle:transition,timestamp,customer,case
Value 1,Value 10,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2013-02-15 13:12:20+00:00,Value 65,Case 106
Value 1,Value 10,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2013-03-05 08:06:13+00:00,Value 65,Case 106
Value 1,Value 10,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-03-20 08:06:31+00:00,Value 65,Case 106
Value 1,Value 2,Value 1,Value 1,Assign seriousness,Value 13,Value 1,Value 2,Value 1,complete,2011-08-22 14:39:21+00:00,Value 82,Case 1065
Value 1,Value 2,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-08-25 12:58:59+00:00,Value 82,Case 1065
Value 1,Value 2,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-09-22 14:40:15+00:00,Value 82,Case 1065
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 2,Value 1,Value 2,Value 1,complete,2013-04-02 12:24:40+00:00,Value 22,Case 1088
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2013-04-18 09:24:14+00:00,Value 22,Case 1088
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2013-04-18 09:24:14+00:00,Value 22,Case 1088
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-05-03 09:24:29+00:00,Value 22,Case 1088
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 3,Value 1,complete,2012-07-12 13:22:39+00:00,Value 146,Case 1092
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 3,Value 1,complete,2012-07-12 13:58:17+00:00,Value 146,Case 1092
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 3,Value 1,complete,2012-09-03 13:30:39+00:00,Value 146,Case 1092
Value 1,Value 1,Value 1,Value 4,Assign seriousness,Value 2,Value 1,Value 2,Value 1,complete,2012-01-13 16:27:38+00:00,Value 49,Case 1093
Value 1,Value 1,Value 1,Value 4,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2012-01-13 16:34:53+00:00,Value 49,Case 1093
Value 1,Value 1,Value 1,Value 4,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-02-17 16:30:54+00:00,Value 49,Case 1093
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-09-26 15:01:58+00:00,Value 261,Case 1095
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 2,Value 1,Value 2,Value 1,complete,2011-09-28 15:28:26+00:00,Value 261,Case 1095
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-09-28 15:28:35+00:00,Value 261,Case 1095
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-11-11 16:12:58+00:00,Value 261,Case 1095
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-01-10 13:31:21+00:00,Value 49,Case 1126
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 2,Value 1,complete,2012-01-13 08:28:55+00:00,Value 49,Case 1126
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 2,Value 1,complete,2012-01-13 08:28:56+00:00,Value 49,Case 1126
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-02-10 13:41:18+00:00,Value 49,Case 1126
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-06-12 08:23:44+00:00,Value 27,Case 1136
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2012-06-15 06:56:23+00:00,Value 27,Case 1136
Value 1,Value 1,Value 1,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-07-26 08:30:38+00:00,Value 27,Case 1136
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-07-24 07:38:39+00:00,Value 1,Case 1163
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2012-07-24 07:39:01+00:00,Value 1,Case 1163
Value 1,Value 1,Value 1,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-09-06 07:40:23+00:00,Value 1,Case 1163
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 4,Value 1,Value 2,Value 1,complete,2012-07-30 15:03:11+00:00,Value 99,Case 1169
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 2,Value 1,complete,2012-07-31 13:37:16+00:00,Value 99,Case 1169
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-09-14 15:11:18+00:00,Value 99,Case 1169
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 2,Value 1,Value 3,Value 1,complete,2012-03-07 15:57:18+00:00,Value 28,Case 1198
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 3,Value 1,complete,2012-03-07 15:59:42+00:00,Value 28,Case 1198
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 3,Value 1,complete,2012-03-07 15:59:43+00:00,Value 28,Case 1198
Value 1,Value 1,Value 1,Value 2,Closed,Value 5,Value 1,Value 3,Value 1,complete,2012-04-28 15:00:45+00:00,Value 28,Case 1198
Value 1,Value 7,Value 1,Value 2,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2013-06-27 10:48:58+00:00,Value 9,Case 1210
Value 1,Value 7,Value 1,Value 2,Wait,Value 1,Value 1,Value 2,Value 1,complete,2013-06-27 10:49:24+00:00,Value 9,Case 1210
Value 1,Value 7,Value 1,Value 2,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2013-07-23 09:40:47+00:00,Value 9,Case 1210
Value 1,Value 7,Value 1,Value 2,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-08-07 09:41:00+00:00,Value 9,Case 1210
Value 1,Value 3,Value 1,Value 2,Assign seriousness,Value 9,Value 1,Value 2,Value 1,complete,2011-08-03 12:14:54+00:00,Value 231,Case 1225
Value 1,Value 3,Value 1,Value 2,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-08-11 07:32:57+00:00,Value 231,Case 1225
Value 1,Value 3,Value 1,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-10-01 12:20:25+00:00,Value 231,Case 1225
Value 1,Value 12,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-10-28 08:12:21+00:00,Value 91,Case 1226
Value 1,Value 12,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2011-10-28 13:47:35+00:00,Value 91,Case 1226
Value 1,Value 12,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2011-10-28 13:47:35+00:00,Value 91,Case 1226
Value 1,Value 12,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-11-30 09:20:33+00:00,Value 91,Case 1226
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 14,Value 1,Value 2,Value 1,complete,2013-04-17 14:01:25+00:00,Value 275,Case 1254
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 2,Value 1,Value 2,Value 1,complete,2013-04-17 14:14:55+00:00,Value 275,Case 1254
Value 1,Value 1,Value 1,Value 1,Wait,Value 1,Value 1,Value 2,Value 1,complete,2013-04-26 10:59:44+00:00,Value 275,Case 1254
Value 1,Value 1,Value 1,Value 1,Wait,Value 1,Value 1,Value 2,Value 1,complete,2013-05-03 07:26:24+00:00,Value 275,Case 1254
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2013-05-07 15:35:43+00:00,Value 275,Case 1254
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-05-22 15:35:58+00:00,Value 275,Case 1254
Value 1,Value 2,Value 1,Value 2,Assign seriousness,Value 2,Value 1,Value 2,Value 1,complete,2011-12-22 14:22:19+00:00,Value 220,Case 1259
Value 1,Value 2,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-12-22 14:23:53+00:00,Value 220,Case 1259
Value 1,Value 2,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-12-22 14:23:54+00:00,Value 220,Case 1259
Value 1,Value 2,Value 1,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-02-04 14:30:25+00:00,Value 220,Case 1259
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 13,Value 1,Value 3,Value 1,complete,2012-07-25 15:34:31+00:00,Value 77,Case 126
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 2,Value 1,Value 3,Value 1,complete,2012-08-27 13:28:50+00:00,Value 77,Case 126
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 3,Value 1,complete,2012-08-27 14:18:05+00:00,Value 77,Case 126
Value 1,Value 1,Value 1,Value 2,Closed,Value 3,Value 1,Value 3,Value 1,complete,2012-09-11 14:18:23+00:00,Value 77,Case 126
Value 1,Value 3,Value 1,Value 2,Assign seriousness,Value 9,Value 1,Value 3,Value 1,complete,2011-11-23 10:44:05+00:00,Value 28,Case 1268
Value 1,Value 3,Value 1,Value 2,Resolve ticket,Value 9,Value 1,Value 3,Value 1,complete,2011-11-23 10:45:05+00:00,Value 28,Case 1268
Value 1,Value 3,Value 1,Value 2,Closed,Value 5,Value 1,Value 3,Value 1,complete,2011-12-30 10:50:38+00:00,Value 28,Case 1268
Value 1,Value 11,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-06-19 08:22:48+00:00,Value 74,Case 1271
Value 1,Value 11,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2012-06-19 09:46:13+00:00,Value 74,Case 1271
Value 1,Value 11,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-07-20 08:30:20+00:00,Value 74,Case 1271
Value 1,Value 1,Value 1,Value 4,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-11-28 08:10:27+00:00,Value 27,Case 128
Value 1,Value 1,Value 1,Value 4,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2011-11-28 09:46:59+00:00,Value 27,Case 128
Value 1,Value 1,Value 1,Value 4,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2011-11-28 09:46:59+00:00,Value 27,Case 128
Value 1,Value 1,Value 1,Value 4,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-12-31 08:20:48+00:00,Value 27,Case 128
Value 1,Value 12,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2013-04-05 16:15:52+00:00,Value 22,Case 129
Value 1,Value 12,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2013-04-23 15:50:35+00:00,Value 22,Case 129
Value 1,Value 12,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-05-08 15:50:57+00:00,Value 22,Case 129
Value 1,Value 2,Value 1,Value 2,Assign seriousness,Value 14,Value 1,Value 2,Value 1,complete,2013-05-14 09:55:29+00:00,Value 183,Case 1309
Value 1,Value 2,Value 1,Value 2,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2013-06-04 14:51:18+00:00,Value 183,Case 1309
Value 1,Value 2,Value 1,Value 2,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-06-19 14:51:31+00:00,Value 183,Case 1309
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 3,Value 1,complete,2012-07-18 07:01:14+00:00,Value 138,Case 1317
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 3,Value 1,complete,2012-07-18 07:24:34+00:00,Value 138,Case 1317
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 3,Value 1,complete,2012-09-09 07:10:33+00:00,Value 138,Case 1317
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-01-11 09:44:33+00:00,Value 18,Case 1325
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2012-01-12 14:25:42+00:00,Value 18,Case 1325
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-02-11 09:50:24+00:00,Value 18,Case 1325
Value 1,Value 20,Value 1,Value 2,Assign seriousness,Value 13,Value 1,Value 2,Value 1,complete,2012-08-07 12:34:32+00:00,Value 283,Case 1327
Value 1,Value 20,Value 1,Value 2,Wait,Value 1,Value 1,Value 2,Value 1,complete,2012-09-05 12:43:03+00:00,Value 283,Case 1327
Value 1,Value 20,Value 1,Value 2,Resolve ticket,Value 13,Value 1,Value 2,Value 1,complete,2012-09-13 14:58:00+00:00,Value 283,Case 1327
Value 1,Value 20,Value 1,Value 2,Closed,Value 3,Value 1,Value 2,Value 1,complete,2012-09-28 14:58:18+00:00,Value 283,Case 1327
Value 1,Value 12,Value 1,Value 1,Assign seriousness,Value 4,Value 1,Value 2,Value 1,complete,2012-08-10 13:34:03+00:00,Value 19,Case 1330
Value 1,Value 12,Value 1,Value 1,Resolve ticket,Value 13,Value 1,Value 2,Value 1,complete,2012-08-13 09:26:32+00:00,Value 19,Case 1330
Value 1,Value 12,Value 1,Value 1,Resolve ticket,Value 13,Value 1,Value 2,Value 1,complete,2012-08-13 09:26:32+00:00,Value 19,Case 1330
Value 1,Value 12,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-09-12 09:26:55+00:00,Value 19,Case 1330
Value 1,Value 7,Value 1,Value 1,Assign seriousness,Value 13,Value 1,Value 2,Value 1,complete,2012-09-13 13:52:09+00:00,Value 144,Case 1338
Value 1,Value 7,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2012-10-01 08:22:48+00:00,Value 144,Case 1338
Value 1,Value 7,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2012-10-16 08:23:05+00:00,Value 144,Case 1338
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 2,Value 1,Value 2,Value 1,complete,2011-07-29 13:03:29+00:00,Value 17,Case 1342
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-08-03 08:37:40+00:00,Value 17,Case 1342
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-08-03 08:37:41+00:00,Value 17,Case 1342
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-09-15 13:10:39+00:00,Value 17,Case 1342
Value 1,Value 14,Value 1,Value 1,Assign seriousness,Value 4,Value 1,Value 3,Value 1,complete,2012-02-29 13:57:19+00:00,Value 138,Case 1368
Value 1,Value 14,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 3,Value 1,complete,2012-03-02 10:36:18+00:00,Value 138,Case 1368
Value 1,Value 14,Value 1,Value 1,Closed,Value 5,Value 1,Value 3,Value 1,complete,2012-04-07 13:00:38+00:00,Value 138,Case 1368
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-11-21 09:56:44+00:00,Value 97,Case 1371
Value 1,Value 1,Value 1,Value 1,Wait,Value 1,Value 1,Value 2,Value 1,complete,2012-11-21 09:57:53+00:00,Value 97,Case 1371
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2012-12-28 11:36:52+00:00,Value 97,Case 1371
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2012-12-28 11:36:52+00:00,Value 97,Case 1371
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-01-12 11:37:11+00:00,Value 97,Case 1371
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2013-05-15 15:18:45+00:00,Value 20,Case 1384
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2013-06-25 10:50:11+00:00,Value 20,Case 1384
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2013-06-25 10:50:12+00:00,Value 20,Case 1384
Value 1,Value 1,Value 1,Value 2,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-07-10 10:50:24+00:00,Value 20,Case 1384
Value 1,Value 2,Value 1,Value 2,Assign seriousness,Value 13,Value 1,Value 2,Value 1,complete,2011-07-19 09:16:55+00:00,Value 11,Case 1435
Value 1,Value 2,Value 1,Value 2,Resolve ticket,Value 13,Value 1,Value 2,Value 1,complete,2011-07-19 10:17:05+00:00,Value 11,Case 1435
Value 1,Value 2,Value 1,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-09-01 09:20:28+00:00,Value 11,Case 1435
Value 1,Value 3,Value 1,Value 1,Assign seriousness,Value 9,Value 1,Value 2,Value 1,complete,2012-01-19 11:41:57+00:00,Value 89,Case 1443
Value 1,Value 3,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2012-01-19 11:42:05+00:00,Value 89,Case 1443
Value 1,Value 3,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-02-21 11:51:00+00:00,Value 89,Case 1443
Value 1,Value 2,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-09-21 10:18:24+00:00,Value 14,Case 1458
Value 1,Value 2,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-09-21 15:56:08+00:00,Value 14,Case 1458
Value 1,Value 2,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-10-22 10:20:33+00:00,Value 14,Case 1458
Value 1,Value 4,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-12-15 10:37:04+00:00,Value 298,Case 1473
Value 1,Value 4,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-12-16 16:05:44+00:00,Value 298,Case 1473
Value 1,Value 4,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-12-16 16:05:44+00:00,Value 298,Case 1473
Value 1,Value 4,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-02-01 10:40:51+00:00,Value 298,Case 1473
Value 1,Value 2,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-07-17 10:41:41+00:00,Value 16,Case 1497
Value 1,Value 2,Value 1,Value 1,Resolve ticket,Value 13,Value 1,Value 2,Value 1,complete,2012-07-18 14:59:06+00:00,Value 16,Case 1497
Value 1,Value 2,Value 1,Value 1,Resolve ticket,Value 13,Value 1,Value 2,Value 1,complete,2012-07-18 14:59:06+00:00,Value 16,Case 1497
Value 1,Value 2,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-09-01 10:50:31+00:00,Value 16,Case 1497
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 4,Value 1,Value 2,Value 1,complete,2012-08-09 15:16:14+00:00,Value 63,Case 1500
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2012-09-10 15:35:07+00:00,Value 63,Case 1500
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2012-09-10 15:35:07+00:00,Value 63,Case 1500
Value 1,Value 1,Value 1,Value 2,Closed,Value 3,Value 1,Value 2,Value 1,complete,2012-09-25 15:35:24+00:00,Value 63,Case 1500
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2013-01-08 17:05:45+00:00,Value 49,Case 1519
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 13,Value 1,Value 2,Value 1,complete,2013-01-24 13:36:45+00:00,Value 49,Case 1519
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 13,Value 1,Value 2,Value 1,complete,2013-01-24 13:36:46+00:00,Value 49,Case 1519
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-02-08 13:36:59+00:00,Value 49,Case 1519
Value 1,Value 1,Value 1,Value 4,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-09-15 15:02:26+00:00,Value 6,Case 1525
Value 1,Value 1,Value 1,Value 4,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-09-15 15:04:53+00:00,Value 6,Case 1525
Value 1,Value 1,Value 1,Value 4,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-11-04 16:10:45+00:00,Value 6,Case 1525
Value 2,Value 1,Value 2,Value 2,Assign seriousness,Value 14,Value 1,Value 2,Value 1,complete,2013-06-19 10:41:38+00:00,Value 45,Case 1535
Value 2,Value 1,Value 2,Value 2,Assign seriousness,Value 14,Value 1,Value 2,Value 1,complete,2013-06-19 10:42:32+00:00,Value 45,Case 1535
Value 2,Value 1,Value 2,Value 2,Assign seriousness,Value 12,Value 1,Value 2,Value 1,complete,2013-07-15 10:02:09+00:00,Value 45,Case 1535
Value 2,Value 1,Value 2,Value 2,Resolve ticket,Value 6,Value 1,Value 2,Value 1,complete,2013-07-22 10:51:26+00:00,Value 45,Case 1535
Value 2,Value 1,Value 2,Value 2,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-08-06 10:51:44+00:00,Value 45,Case 1535
Value 1,Value 3,Value 1,Value 2,Assign seriousness,Value 9,Value 1,Value 2,Value 1,complete,2011-12-07 08:51:54+00:00,Value 66,Case 1544
Value 1,Value 3,Value 1,Value 2,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-12-07 08:52:27+00:00,Value 66,Case 1544
Value 1,Value 3,Value 1,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-02-04 09:00:42+00:00,Value 66,Case 1544
Value 1,Value 4,Value 1,Value 1,Assign seriousness,Value 13,Value 1,Value 2,Value 1,complete,2012-05-17 15:55:39+00:00,Value 38,Case 1550
Value 1,Value 4,Value 1,Value 1,Resolve ticket,Value 13,Value 1,Value 2,Value 1,complete,2012-05-17 15:55:56+00:00,Value 38,Case 1550
Value 1,Value 4,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-07-04 16:00:24+00:00,Value 38,Case 1550
Value 1,Value 2,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-11-25 10:32:46+00:00,Value 22,Case 1573
Value 1,Value 2,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2011-11-25 11:19:08+00:00,Value 22,Case 1573
Value 1,Value 2,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-12-28 10:40:30+00:00,Value 22,Case 1573
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2013-02-08 16:07:30+00:00,Value 65,Case 1603
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2013-02-25 13:18:45+00:00,Value 65,Case 1603
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2013-02-25 13:18:46+00:00,Value 65,Case 1603
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-03-12 13:19:08+00:00,Value 65,Case 1603
Value 1,Value 2,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-04-17 14:16:58+00:00,Value 33,Case 1619
